,Topic,Count,Name
335,337,13,337_lindell_mike_mypillow_mikelindell
337,331,13,331_axios_via_tcouexsggo_tcoudzbjelp
336,333,13,333_host_msnbc_candidate_ari
338,330,13,330_stake_yarvins_normalcy_thinkschool
334,335,13,335_cuban_mark_medicine_cubana
332,334,13,334_deletes_weekend_barrage_critical
331,338,13,338_tcozwsrljcjg_tcovwidng_tshow_ny
330,339,13,339_messiah_tcodrwnlfse_tcoxqhziriah_tcommoxjyw
333,336,13,336_passive_stake_twitternotice_fleeceman
349,347,12,347_climate_climatechange_supervillain_axios
356,340,12,340_indebted_america_deal_go
355,341,12,341_floating_newest_suggestion_owner
354,342,12,342_representing_wahoo_shareholder_name
353,343,12,343_rejecting_seat_offered_tcoholjueftbh
352,344,12,344_disney_documentary_tcoalepknth_tcotkyfhdew
351,345,12,345_sophisticated_nuanced_combat_warns
350,346,12,346_promptly_size_failing_disclose
348,349,12,349_alex_jones_infowars_tcopeponbtg
347,350,12,350_tcohluistijaq_tcounkpi_tcoemzngivvk_tcoovvtqlct
346,351,12,351_africa_south_apartheid_selfmade
345,352,12,352_profgalloway_daffi_blueglambert_llm
344,353,12,353_immaking_hank_leslieoo_repmontague
343,354,12,354_nonbinding_proposal_delivered_contained
342,355,12,355_tickersymbolyou_gigafactories_marketing_alexwhy
341,348,12,348_xfinance_blacksmitheart_benmzondo_laurenboebert
366,364,11,364_cnns_stelter_conducting_brian
373,363,11,363_therapy_undergoes_employee_tcokbfpefpzcb
372,356,11,356_pee_lauterbach_zurawik_cnns
371,357,11,357_jimjordan_jim_jordan_unbecoming
370,358,11,358_pam_tcolwdzvxhoz_tharki_tcoqllryszu
369,360,11,360_survive_black_tcocndqmdwt_tcobmnrfyeove
368,361,11,361_meltdown_loving_angle_hilarious
367,362,11,362_timjdillon_jessicakirson_pbcttt_azhadjamil
360,370,11,370_metgala_niche_carpet_expand
365,359,11,359_ozraeliavi_libsoftiktok_jasonakagoimon_omphalophopic
363,367,11,367_rigged_game_agrees_dunk
362,368,11,368_piersmorgan_jasonturner_danwootton_cbouzy
361,369,11,369_wiping_tuesday_concern_contribution
359,371,11,371_theruqayyah_idanielyoung_arphydev_itzareous
358,372,11,372_spent_filing_show_far
357,365,11,365_join_tcojiiwlyby_tcotfuwymvj_tcocsiavttgh
364,366,11,366_trickle_aim_road_resource
379,374,10,374_alfranken_londonsgirl_covid_contributed
383,373,10,373_tcoqpxzwzlb_tcolganelusl_tcodswmmxkpsf_tcombvcfrbrwj
382,375,10,375_ape_profile_bored_briefly
381,376,10,376_rogans_tcovasjrnb_mineral_alsoelon
380,377,10,377_bnworth_sell_bn_tcoenticinstp
375,382,10,382_lie_carebelbase_troll_matter
378,379,10,379_charge_uncanceled_youfor_blackveilbtr
377,380,10,380_zuckerberg_election_mark_interfering
376,381,10,381_account_deleted_jimjohn_pond
374,378,10,378_ceo_development_confirmed_paraga
384,383,10,383_sarcasm_sarcastictara_atomheartiii_tradesdata
